Genome ,Coverage,Genes
SAMEA3638281,1,TPANIC_RS00870
SAMEA3638281,1,TPANIC_RS01295
SAMEA3638281,1,TPANIC_RS01455
SAMEA3638281,1,TPANIC_RS01480
SAMEA3638281,1,TPANIC_RS01545
SAMEA3638281,0.9832496,TPANIC_RS01555 
SAMEA3638281,1,TPANIC_RS01560
SAMEA3638281,0.9976124,TPANIC_RS01590
SAMEA3638281,1,TPANIC_RS01595
SAMEA3638281,0.9117971,TPANIC_RS02115
SAMEA3638281,1,TPANIC_RS02120
SAMEA3638281,1,TPANIC_RS02210
SAMEA3638281,0.744898,TPANIC_RS02260
SAMEA3638281,0.9710982,TPANIC_RS02345
SAMEA3638281,0.9728025,TPANIC_RS02370
SAMEA3638281,1,TPANIC_RS02405
SAMEA3638281,1,TPANIC_RS02520
SAMEA3638281,0.976227,TPANIC_RS02695
SAMEA3638281,1,TPANIC_RS02820
SAMEA3638281,1,TPANIC_RS02830
SAMEA3638281,1,TPANIC_RS03015
SAMEA3638281,0.7724551,TPANIC_RS03060
SAMEA3638281,0.9846911,TPANIC_RS03065
SAMEA3638281,0.7873462,TPANIC_RS03070
SAMEA3638281,1,TPANIC_RS03170
SAMEA3638281,1,TPANIC_RS03175
SAMEA3638281,1,TPANIC_RS03245
SAMEA3638281,1,TPANIC_RS03475
SAMEA3638281,0.9620637,TPANIC_RS03635
SAMEA3638281,1,TPANIC_RS03715
SAMEA3638281,1,TPANIC_RS03720
SAMEA3638281,1,TPANIC_RS03800
SAMEA3638281,1,TPANIC_RS03805
SAMEA3638281,1,TPANIC_RS03940
SAMEA3638281,1,TPANIC_RS04050
SAMEA3638281,1,TPANIC_RS04235
SAMEA3638281,0.9144793,TPANIC_RS04240
SAMEA3638281,0.9878706,TPANIC_RS04245
SAMEA3638281,0.990271,TPANIC_RS04270
SAMEA3638281,0.8506579,TPANIC_RS04420
SAMEA3638281,1,TPANIC_RS04710
SAMEA3638281,1,TPANIC_RS04715
SAMEA3638281,1,TPANIC_RS04720
SAMEA3638281,1,TPANIC_RS04760
SAMEA3638281,0.9948487,TPANIC_RS04765
SAMEA3638281,1,TPANIC_RS04770
SAMEA3638281,1,TPANIC_RS04775
SAMEA3638281,1,TPANIC_RS04780
SAMEA3638281,1,TPANIC_RS04995
SAMEA3638281,1,TPANIC_RS05015
SAMEA3638281,0.8447239,TPANIC_RS05095
SAMEA3638281,0,TPANIC_RS05095-377bp-del
SAMEA3638281,1,TPANIC_RS05130
SAMEA3638288,1,TPANIC_RS05525
SAMEA3638288,1,TPANIC_RS05530
SAMEA3638288,1,TPANIC_RS05535
SAMEA3638288,1,TPANIC_RS00045
SAMEA3638288,1,TPANIC_RS00200
SAMEA3638288,1,TPANIC_RS00450
SAMEA3638288,1,TPANIC_RS00560
SAMEA3638288,0.7483296,TPANIC_RS00590
SAMEA3638288,1,TPANIC_RS00635
SAMEA3638288,0.7544543,TPANIC_RS00665
SAMEA3638288,0.9764611,TPANIC_RS00675
SAMEA3638288,1,TPANIC_RS00680
SAMEA3638288,0.2447882,TPANIC_RS00695
SAMEA3638288,1,TPANIC_RS00795
SAMEA3638288,1,TPANIC_RS00830
SAMEA3638288,1,TPANIC_RS00870
SAMEA3638288,1,TPANIC_RS01295
SAMEA3638288,1,TPANIC_RS01455
SAMEA3638288,1,TPANIC_RS01480
SAMEA3638288,1,TPANIC_RS01545
SAMEA3638288,0.982412,TPANIC_RS01555 
SAMEA3638288,1,TPANIC_RS01560
SAMEA3638288,0.9964186,TPANIC_RS01590
SAMEA3638288,1,TPANIC_RS01595
SAMEA3638288,0.9476296,TPANIC_RS02115
SAMEA3638288,1,TPANIC_RS02120
SAMEA3638288,1,TPANIC_RS02210
SAMEA3638288,0.9010989,TPANIC_RS02260
SAMEA3638288,0.9801817,TPANIC_RS02345
SAMEA3638288,0.9940875,TPANIC_RS02370
SAMEA3638288,1,TPANIC_RS02405
SAMEA3638288,1,TPANIC_RS02520
SAMEA3638288,0.970092,TPANIC_RS02695
SAMEA3638288,1,TPANIC_RS02820
SAMEA3638288,1,TPANIC_RS02830
SAMEA3638288,1,TPANIC_RS03015
SAMEA3638288,0.763473,TPANIC_RS03060
SAMEA3638288,0.9879715,TPANIC_RS03065
SAMEA3638288,0.7864675,TPANIC_RS03070
SAMEA3638288,1,TPANIC_RS03170
SAMEA3638288,1,TPANIC_RS03175
SAMEA3638288,1,TPANIC_RS03245
SAMEA3638288,1,TPANIC_RS03475
SAMEA3638288,0.969651,TPANIC_RS03635
SAMEA3638288,1,TPANIC_RS03715
SAMEA3638288,1,TPANIC_RS03720
SAMEA3638288,1,TPANIC_RS03800
SAMEA3638288,1,TPANIC_RS03805
SAMEA3638288,1,TPANIC_RS03940
SAMEA3638288,1,TPANIC_RS04050
SAMEA3638288,1,TPANIC_RS04235
SAMEA3638288,0.938188,TPANIC_RS04240
SAMEA3638288,0.995283,TPANIC_RS04245
SAMEA3638288,0.9881862,TPANIC_RS04270
SAMEA3638288,0.9072368,TPANIC_RS04420
SAMEA3638288,1,TPANIC_RS04710
SAMEA3638288,1,TPANIC_RS04715
SAMEA3638288,1,TPANIC_RS04720
SAMEA3638288,1,TPANIC_RS04760
SAMEA3638288,1,TPANIC_RS04765
SAMEA3638288,1,TPANIC_RS04770
SAMEA3638288,1,TPANIC_RS04775
SAMEA3638288,1,TPANIC_RS04780
SAMEA3638288,1,TPANIC_RS04995
SAMEA3638288,1,TPANIC_RS05015
SAMEA3638288,0.8474576,TPANIC_RS05095
SAMEA3638288,0,TPANIC_RS05095-377bp-del
SAMEA3638288,1,TPANIC_RS05130
SAMEA3638293,1,TPANIC_RS05525
SAMEA3638293,1,TPANIC_RS05530
SAMEA3638293,1,TPANIC_RS05535
SAMEA3638293,1,TPANIC_RS00045
SAMEA3638293,1,TPANIC_RS00200
SAMEA3638293,1,TPANIC_RS00450
SAMEA3638293,1,TPANIC_RS00560
SAMEA3638293,0.7321826,TPANIC_RS00590
SAMEA3638293,1,TPANIC_RS00635
SAMEA3638293,0.7332962,TPANIC_RS00665
SAMEA3638293,0.974026,TPANIC_RS00675
SAMEA3638293,1,TPANIC_RS00680
SAMEA3638293,0.266308,TPANIC_RS00695
SAMEA3638293,1,TPANIC_RS00795
SAMEA3638293,1,TPANIC_RS00830
SAMEA3638293,1,TPANIC_RS00870
SAMEA3638293,1,TPANIC_RS01295
SAMEA3638293,1,TPANIC_RS01455
SAMEA3638293,1,TPANIC_RS01480
SAMEA3638293,1,TPANIC_RS01545
SAMEA3638293,0.9765494,TPANIC_RS01555 
SAMEA3638293,1,TPANIC_RS01560
SAMEA3638293,0.9972145,TPANIC_RS01590
SAMEA3638293,1,TPANIC_RS01595
SAMEA3638293,0.9112459,TPANIC_RS02115
SAMEA3638293,1,TPANIC_RS02120
SAMEA3638293,1,TPANIC_RS02210
SAMEA3638293,0.8304552,TPANIC_RS02260
SAMEA3638293,0.9793559,TPANIC_RS02345
SAMEA3638293,0.9838392,TPANIC_RS02370
SAMEA3638293,1,TPANIC_RS02405
SAMEA3638293,1,TPANIC_RS02520
SAMEA3638293,0.9547546,TPANIC_RS02695
SAMEA3638293,1,TPANIC_RS02820
SAMEA3638293,1,TPANIC_RS02830
SAMEA3638293,1,TPANIC_RS03015
SAMEA3638293,0.755988,TPANIC_RS03060
SAMEA3638293,0.9863313,TPANIC_RS03065
SAMEA3638293,0.7833919,TPANIC_RS03070
SAMEA3638293,1,TPANIC_RS03170
SAMEA3638293,1,TPANIC_RS03175
SAMEA3638293,1,TPANIC_RS03245
SAMEA3638293,1,TPANIC_RS03475
SAMEA3638293,0.9650986,TPANIC_RS03635
SAMEA3638293,1,TPANIC_RS03715
SAMEA3638293,1,TPANIC_RS03720
SAMEA3638293,1,TPANIC_RS03800
SAMEA3638293,1,TPANIC_RS03805
SAMEA3638293,1,TPANIC_RS03940
SAMEA3638293,1,TPANIC_RS04050
SAMEA3638293,1,TPANIC_RS04235
SAMEA3638293,0.9043184,TPANIC_RS04240
SAMEA3638293,0.9690027,TPANIC_RS04245
SAMEA3638293,0.9888812,TPANIC_RS04270
SAMEA3638293,0.9190789,TPANIC_RS04420
SAMEA3638293,1,TPANIC_RS04710
SAMEA3638293,1,TPANIC_RS04715
SAMEA3638293,1,TPANIC_RS04720
SAMEA3638293,1,TPANIC_RS04760
SAMEA3638293,1,TPANIC_RS04765
SAMEA3638293,1,TPANIC_RS04770
SAMEA3638293,1,TPANIC_RS04775
SAMEA3638293,1,TPANIC_RS04780
SAMEA3638293,1,TPANIC_RS04995
SAMEA3638293,1,TPANIC_RS05015
SAMEA3638293,0.8474576,TPANIC_RS05095
SAMEA3638293,0,TPANIC_RS05095-377bp-del
SAMEA3638293,1,TPANIC_RS05130
Samoa-D,1,TPANIC_RS05525
Samoa-D,1,TPANIC_RS05530
Samoa-D,1,TPANIC_RS05535
Samoa-D,1,TPANIC_RS00045
Samoa-D,1,TPANIC_RS00200
Samoa-D,0.9733607,TPANIC_RS00450
Samoa-D,1,TPANIC_RS00560
Samoa-D,0.9281737,TPANIC_RS00590
Samoa-D,1,TPANIC_RS00635
Samoa-D,0.9320713,TPANIC_RS00665
Samoa-D,0.9594156,TPANIC_RS00675
Samoa-D,1,TPANIC_RS00680
Samoa-D,0.7410895,TPANIC_RS00695
Samoa-D,1,TPANIC_RS00795
Samoa-D,1,TPANIC_RS00830
Samoa-D,1,TPANIC_RS00870
Samoa-D,1,TPANIC_RS01295
Samoa-D,1,TPANIC_RS01455
Samoa-D,1,TPANIC_RS01480
Samoa-D,1,TPANIC_RS01545
Samoa-D,0.979062,TPANIC_RS01555 
Samoa-D,1,TPANIC_RS01560
Samoa-D,0.9824911,TPANIC_RS01590
Samoa-D,1,TPANIC_RS01595
Samoa-D,0.9184123,TPANIC_RS02115
Samoa-D,1,TPANIC_RS02120
Samoa-D,1,TPANIC_RS02210
Samoa-D,0.9089482,TPANIC_RS02260
Samoa-D,0.9496284,TPANIC_RS02345
Samoa-D,0.9751675,TPANIC_RS02370
Samoa-D,1,TPANIC_RS02405
Samoa-D,1,TPANIC_RS02520
Samoa-D,0.9378834,TPANIC_RS02695
Samoa-D,1,TPANIC_RS02820
Samoa-D,1,TPANIC_RS02830
Samoa-D,1,TPANIC_RS03015
Samoa-D,0.752994,TPANIC_RS03060
Samoa-D,0.9808639,TPANIC_RS03065
Samoa-D,0.7794376,TPANIC_RS03070
Samoa-D,1,TPANIC_RS03170
Samoa-D,1,TPANIC_RS03175
Samoa-D,1,TPANIC_RS03245
Samoa-D,1,TPANIC_RS03475
Samoa-D,0.9939302,TPANIC_RS03635
Samoa-D,1,TPANIC_RS03715
Samoa-D,1,TPANIC_RS03720
Samoa-D,1,TPANIC_RS03800
Samoa-D,1,TPANIC_RS03805
Samoa-D,1,TPANIC_RS03940
Samoa-D,1,TPANIC_RS04050
Samoa-D,1,TPANIC_RS04235
Samoa-D,0.9246401,TPANIC_RS04240
Samoa-D,0.9743935,TPANIC_RS04245
Samoa-D,0.9756775,TPANIC_RS04270
Samoa-D,0.7657894,TPANIC_RS04420
Samoa-D,1,TPANIC_RS04710
Samoa-D,1,TPANIC_RS04715
Samoa-D,1,TPANIC_RS04720
Samoa-D,1,TPANIC_RS04760
Samoa-D,0.9935609,TPANIC_RS04765
Samoa-D,1,TPANIC_RS04770
Samoa-D,1,TPANIC_RS04775
Samoa-D,1,TPANIC_RS04780
Samoa-D,1,TPANIC_RS04995
Samoa-D,1,TPANIC_RS05015
Samoa-D,0.8354292,TPANIC_RS05095
Samoa-D,0,TPANIC_RS05095-377bp-del
Samoa-D,1,TPANIC_RS05130
Seattle-81-4,1,TPANIC_RS05525
Seattle-81-4,1,TPANIC_RS05530
Seattle-81-4,1,TPANIC_RS05535
Seattle-81-4,1,TPANIC_RS00045
Seattle-81-4,1,TPANIC_RS00200
Seattle-81-4,1,TPANIC_RS00450
Seattle-81-4,1,TPANIC_RS00560
Seattle-81-4,1,TPANIC_RS00590
Seattle-81-4,1,TPANIC_RS00635
Seattle-81-4,1,TPANIC_RS00665
Seattle-81-4,1,TPANIC_RS00675
Seattle-81-4,1,TPANIC_RS00680
Seattle-81-4,0.9751177,TPANIC_RS00695
Seattle-81-4,1,TPANIC_RS00795
Seattle-81-4,1,TPANIC_RS00830
Seattle-81-4,1,TPANIC_RS00870
Seattle-81-4,1,TPANIC_RS01295
Seattle-81-4,1,TPANIC_RS01455
Seattle-81-4,1,TPANIC_RS01480
Seattle-81-4,1,TPANIC_RS01545
Seattle-81-4,1,TPANIC_RS01555 
Seattle-81-4,1,TPANIC_RS01560
Seattle-81-4,1,TPANIC_RS01590
Seattle-81-4,1,TPANIC_RS01595
Seattle-81-4,1,TPANIC_RS02115
Seattle-81-4,1,TPANIC_RS02120
Seattle-81-4,1,TPANIC_RS02210
Seattle-81-4,1,TPANIC_RS02260
Seattle-81-4,1,TPANIC_RS02345
Seattle-81-4,1,TPANIC_RS02370
Seattle-81-4,1,TPANIC_RS02405
Seattle-81-4,1,TPANIC_RS02520
Seattle-81-4,1,TPANIC_RS02695
Seattle-81-4,1,TPANIC_RS02820
Seattle-81-4,1,TPANIC_RS02830
Seattle-81-4,1,TPANIC_RS03015
Seattle-81-4,1,TPANIC_RS03060
Seattle-81-4,1,TPANIC_RS03065
Seattle-81-4,0.9046573,TPANIC_RS03070
Seattle-81-4,1,TPANIC_RS03170
Seattle-81-4,1,TPANIC_RS03175
Seattle-81-4,1,TPANIC_RS03245
Seattle-81-4,1,TPANIC_RS03475
Seattle-81-4,1,TPANIC_RS03635
Seattle-81-4,1,TPANIC_RS03715
Seattle-81-4,1,TPANIC_RS03720
Seattle-81-4,1,TPANIC_RS03800
Seattle-81-4,1,TPANIC_RS03805
Seattle-81-4,1,TPANIC_RS03940
Seattle-81-4,1,TPANIC_RS04050
Seattle-81-4,1,TPANIC_RS04235
Seattle-81-4,0.9932261,TPANIC_RS04240
Seattle-81-4,1,TPANIC_RS04245
Seattle-81-4,1,TPANIC_RS04270
Seattle-81-4,0.9796053,TPANIC_RS04420
Seattle-81-4,1,TPANIC_RS04710
Seattle-81-4,1,TPANIC_RS04715
Seattle-81-4,1,TPANIC_RS04720
Seattle-81-4,1,TPANIC_RS04760
Seattle-81-4,1,TPANIC_RS04765
Seattle-81-4,1,TPANIC_RS04770
Seattle-81-4,1,TPANIC_RS04775
Seattle-81-4,1,TPANIC_RS04780
Seattle-81-4,1,TPANIC_RS04995
Seattle-81-4,1,TPANIC_RS05015
Seattle-81-4,1,TPANIC_RS05095
Seattle-81-4,1,TPANIC_RS05095-377bp-del
Seattle-81-4,1,TPANIC_RS05130
Sei-Geringging-K403,1,TPANIC_RS05525
Sei-Geringging-K403,1,TPANIC_RS05530
Sei-Geringging-K403,1,TPANIC_RS05535
Sei-Geringging-K403,1,TPANIC_RS00045
Sei-Geringging-K403,1,TPANIC_RS00200
Sei-Geringging-K403,1,TPANIC_RS00450
Sei-Geringging-K403,1,TPANIC_RS00560
Sei-Geringging-K403,0.9003341,TPANIC_RS00590
Sei-Geringging-K403,1,TPANIC_RS00635
Sei-Geringging-K403,0.8891982,TPANIC_RS00665
Sei-Geringging-K403,0.9610389,TPANIC_RS00675
Sei-Geringging-K403,1,TPANIC_RS00680
Sei-Geringging-K403,0.7175521,TPANIC_RS00695
Sei-Geringging-K403,1,TPANIC_RS00795
Sei-Geringging-K403,1,TPANIC_RS00830
Sei-Geringging-K403,1,TPANIC_RS00870
Sei-Geringging-K403,1,TPANIC_RS01295
Sei-Geringging-K403,1,TPANIC_RS01455
Sei-Geringging-K403,1,TPANIC_RS01480
Sei-Geringging-K403,1,TPANIC_RS01545
Sei-Geringging-K403,0.9757119,TPANIC_RS01555 
Sei-Geringging-K403,1,TPANIC_RS01560
Sei-Geringging-K403,0.9868683,TPANIC_RS01590
Sei-Geringging-K403,1,TPANIC_RS01595
Sei-Geringging-K403,0.8136715,TPANIC_RS02115
Sei-Geringging-K403,1,TPANIC_RS02120
Sei-Geringging-K403,1,TPANIC_RS02210
Sei-Geringging-K403,0.8728414,TPANIC_RS02260
Sei-Geringging-K403,0.9777044,TPANIC_RS02345
Sei-Geringging-K403,0.9700434,TPANIC_RS02370
Sei-Geringging-K403,1,TPANIC_RS02405
Sei-Geringging-K403,1,TPANIC_RS02520
Sei-Geringging-K403,0.9677914,TPANIC_RS02695
Sei-Geringging-K403,1,TPANIC_RS02820
Sei-Geringging-K403,1,TPANIC_RS02830
Sei-Geringging-K403,1,TPANIC_RS03015
Sei-Geringging-K403,0.747006,TPANIC_RS03060
Sei-Geringging-K403,0.9846911,TPANIC_RS03065
Sei-Geringging-K403,0.7702109,TPANIC_RS03070
Sei-Geringging-K403,1,TPANIC_RS03170
Sei-Geringging-K403,1,TPANIC_RS03175
Sei-Geringging-K403,1,TPANIC_RS03245
Sei-Geringging-K403,1,TPANIC_RS03475
Sei-Geringging-K403,0.9681335,TPANIC_RS03635
Sei-Geringging-K403,1,TPANIC_RS03715
Sei-Geringging-K403,1,TPANIC_RS03720
Sei-Geringging-K403,1,TPANIC_RS03800
Sei-Geringging-K403,1,TPANIC_RS03805
Sei-Geringging-K403,1,TPANIC_RS03940
Sei-Geringging-K403,1,TPANIC_RS04050
Sei-Geringging-K403,1,TPANIC_RS04235
Sei-Geringging-K403,0.9204065,TPANIC_RS04240
Sei-Geringging-K403,0.9797844,TPANIC_RS04245
Sei-Geringging-K403,0.9687283,TPANIC_RS04270
Sei-Geringging-K403,0.7078947,TPANIC_RS04420
Sei-Geringging-K403,1,TPANIC_RS04710
Sei-Geringging-K403,1,TPANIC_RS04715
Sei-Geringging-K403,1,TPANIC_RS04720
Sei-Geringging-K403,1,TPANIC_RS04760
Sei-Geringging-K403,0.9942048,TPANIC_RS04765
Sei-Geringging-K403,1,TPANIC_RS04770
Sei-Geringging-K403,1,TPANIC_RS04775
Sei-Geringging-K403,1,TPANIC_RS04780
Sei-Geringging-K403,1,TPANIC_RS04995
Sei-Geringging-K403,1,TPANIC_RS05015
Sei-Geringging-K403,0.8168398,TPANIC_RS05095
Sei-Geringging-K403,0,TPANIC_RS05095-377bp-del
Sei-Geringging-K403,1,TPANIC_RS05130
SHC-0,1,TPANIC_RS05525
SHC-0,1,TPANIC_RS05530
SHC-0,1,TPANIC_RS05535
SHC-0,1,TPANIC_RS00045
SHC-0,1,TPANIC_RS00200
SHC-0,1,TPANIC_RS00450
SHC-0,1,TPANIC_RS00560
SHC-0,1,TPANIC_RS00590
SHC-0,1,TPANIC_RS00635
SHC-0,1,TPANIC_RS00665
SHC-0,1,TPANIC_RS00675
SHC-0,1,TPANIC_RS00680
SHC-0,0.9643578,TPANIC_RS00695
SHC-0,1,TPANIC_RS00795
SHC-0,1,TPANIC_RS00830
SHC-0,1,TPANIC_RS00870
SHC-0,1,TPANIC_RS01295
SHC-0,1,TPANIC_RS01455
SHC-0,1,TPANIC_RS01480
SHC-0,0.9803322,TPANIC_RS01545
SHC-0,1,TPANIC_RS01555 
SHC-0,0.9696035,TPANIC_RS01560
SHC-0,1,TPANIC_RS01590
SHC-0,1,TPANIC_RS01595
SHC-0,1,TPANIC_RS02115
SHC-0,1,TPANIC_RS02120
SHC-0,1,TPANIC_RS02210
SHC-0,1,TPANIC_RS02260
SHC-0,1,TPANIC_RS02345
SHC-0,1,TPANIC_RS02370
SHC-0,1,TPANIC_RS02405
SHC-0,1,TPANIC_RS02520
SHC-0,1,TPANIC_RS02695
SHC-0,1,TPANIC_RS02820
SHC-0,1,TPANIC_RS02830
SHC-0,1,TPANIC_RS03015
SHC-0,1,TPANIC_RS03060
SHC-0,1,TPANIC_RS03065
SHC-0,1,TPANIC_RS03070
SHC-0,1,TPANIC_RS03170
SHC-0,1,TPANIC_RS03175
SHC-0,1,TPANIC_RS03245
SHC-0,1,TPANIC_RS03475
SHC-0,1,TPANIC_RS03635
SHC-0,1,TPANIC_RS03715
SHC-0,1,TPANIC_RS03720
SHC-0,1,TPANIC_RS03800
SHC-0,1,TPANIC_RS03805
SHC-0,1,TPANIC_RS03940
SHC-0,1,TPANIC_RS04050
SHC-0,1,TPANIC_RS04235
SHC-0,1,TPANIC_RS04240
SHC-0,1,TPANIC_RS04245
SHC-0,1,TPANIC_RS04270
SHC-0,0.956579,TPANIC_RS04420
SHC-0,1,TPANIC_RS04710
SHC-0,1,TPANIC_RS04715
SHC-0,1,TPANIC_RS04720
SHC-0,1,TPANIC_RS04760
SHC-0,1,TPANIC_RS04765
SHC-0,1,TPANIC_RS04770
SHC-0,1,TPANIC_RS04775
SHC-0,1,TPANIC_RS04780
SHC-0,1,TPANIC_RS04995
SHC-0,1,TPANIC_RS05015
SHC-0,0.9939858,TPANIC_RS05095
SHC-0,1,TPANIC_RS05095-377bp-del
SHC-0,1,TPANIC_RS05130
SJN003,1,TPANIC_RS05525
SJN003,1,TPANIC_RS05530
SJN003,1,TPANIC_RS05535
SJN003,1,TPANIC_RS00045
SJN003,1,TPANIC_RS00200
SJN003,1,TPANIC_RS00450
SJN003,1,TPANIC_RS00560
SJN003,0.9510022,TPANIC_RS00590
SJN003,1,TPANIC_RS00635
SJN003,0.9504454,TPANIC_RS00665
SJN003,0.974026,TPANIC_RS00675
SJN003,1,TPANIC_RS00680
SJN003,0.8251513,TPANIC_RS00695
SJN003,1,TPANIC_RS00795
SJN003,1,TPANIC_RS00830
SJN003,1,TPANIC_RS00870
SJN003,1,TPANIC_RS01295
SJN003,1,TPANIC_RS01455
SJN003,1,TPANIC_RS01480
SJN003,1,TPANIC_RS01545
SJN003,0.9840871,TPANIC_RS01555 
SJN003,1,TPANIC_RS01560
SJN003,0.9952248,TPANIC_RS01590
SJN003,1,TPANIC_RS01595
SJN003,0.9785005,TPANIC_RS02115
SJN003,1,TPANIC_RS02120
SJN003,1,TPANIC_RS02210
SJN003,0.9505494,TPANIC_RS02260
SJN003,0.982659,TPANIC_RS02345
SJN003,0.97162,TPANIC_RS02370
SJN003,1,TPANIC_RS02405
SJN003,1,TPANIC_RS02520
SJN003,0.9716257,TPANIC_RS02695
SJN003,1,TPANIC_RS02820
SJN003,1,TPANIC_RS02830
SJN003,1,TPANIC_RS03015
SJN003,0.7619761,TPANIC_RS03060
SJN003,0.9885183,TPANIC_RS03065
SJN003,0.7855887,TPANIC_RS03070
SJN003,1,TPANIC_RS03170
SJN003,1,TPANIC_RS03175
SJN003,1,TPANIC_RS03245
SJN003,1,TPANIC_RS03475
SJN003,0.9802731,TPANIC_RS03635
SJN003,1,TPANIC_RS03715
SJN003,1,TPANIC_RS03720
SJN003,1,TPANIC_RS03800
SJN003,1,TPANIC_RS03805
SJN003,1,TPANIC_RS03940
SJN003,1,TPANIC_RS04050
SJN003,1,TPANIC_RS04235
SJN003,0.9331076,TPANIC_RS04240
SJN003,0.9865229,TPANIC_RS04245
SJN003,0.9881862,TPANIC_RS04270
SJN003,0.8427632,TPANIC_RS04420
SJN003,1,TPANIC_RS04710
SJN003,1,TPANIC_RS04715
SJN003,1,TPANIC_RS04720
SJN003,1,TPANIC_RS04760
SJN003,0.9987122,TPANIC_RS04765
SJN003,1,TPANIC_RS04770
SJN003,1,TPANIC_RS04775
SJN003,1,TPANIC_RS04780
SJN003,1,TPANIC_RS04995
SJN003,1,TPANIC_RS05015
SJN003,0.8430837,TPANIC_RS05095
SJN003,0,TPANIC_RS05095-377bp-del
SJN003,1,TPANIC_RS05130
SMUTp-07,0.9706522,TPANIC_RS05525
SMUTp-07,1,TPANIC_RS05530
SMUTp-07,0.8442907,TPANIC_RS05535
SMUTp-07,1,TPANIC_RS00045
SMUTp-07,1,TPANIC_RS00200
SMUTp-07,1,TPANIC_RS00450
SMUTp-07,1,TPANIC_RS00560
SMUTp-07,1,TPANIC_RS00590
SMUTp-07,1,TPANIC_RS00635
SMUTp-07,1,TPANIC_RS00665
SMUTp-07,1,TPANIC_RS00675
SMUTp-07,1,TPANIC_RS00680
SMUTp-07,1,TPANIC_RS00695
SMUTp-07,1,TPANIC_RS00795
SMUTp-07,1,TPANIC_RS00830
SMUTp-07,1,TPANIC_RS00870
SMUTp-07,0.9990654,TPANIC_RS01295
SMUTp-07,1,TPANIC_RS01455
SMUTp-07,1,TPANIC_RS01480
SMUTp-07,1,TPANIC_RS01545
SMUTp-07,1,TPANIC_RS01555 
SMUTp-07,1,TPANIC_RS01560
SMUTp-07,1,TPANIC_RS01590
SMUTp-07,1,TPANIC_RS01595
SMUTp-07,1,TPANIC_RS02115
SMUTp-07,1,TPANIC_RS02120
SMUTp-07,1,TPANIC_RS02210
SMUTp-07,0.9607536,TPANIC_RS02260
SMUTp-07,1,TPANIC_RS02345
SMUTp-07,0.9968467,TPANIC_RS02370
SMUTp-07,0.9950954,TPANIC_RS02405
SMUTp-07,1,TPANIC_RS02520
SMUTp-07,1,TPANIC_RS02695
SMUTp-07,1,TPANIC_RS02820
SMUTp-07,1,TPANIC_RS02830
SMUTp-07,1,TPANIC_RS03015
SMUTp-07,1,TPANIC_RS03060
SMUTp-07,1,TPANIC_RS03065
SMUTp-07,1,TPANIC_RS03070
SMUTp-07,1,TPANIC_RS03170
SMUTp-07,1,TPANIC_RS03175
SMUTp-07,1,TPANIC_RS03245
SMUTp-07,1,TPANIC_RS03475
SMUTp-07,1,TPANIC_RS03635
SMUTp-07,1,TPANIC_RS03715
SMUTp-07,1,TPANIC_RS03720
SMUTp-07,0.9633558,TPANIC_RS03800
SMUTp-07,1,TPANIC_RS03805
SMUTp-07,1,TPANIC_RS03940
SMUTp-07,1,TPANIC_RS04050
SMUTp-07,1,TPANIC_RS04235
SMUTp-07,1,TPANIC_RS04240
SMUTp-07,1,TPANIC_RS04245
SMUTp-07,1,TPANIC_RS04270
SMUTp-07,0.5072368,TPANIC_RS04420
SMUTp-07,1,TPANIC_RS04710
SMUTp-07,0.9756809,TPANIC_RS04715
SMUTp-07,1,TPANIC_RS04720
SMUTp-07,1,TPANIC_RS04760
SMUTp-07,1,TPANIC_RS04765
SMUTp-07,1,TPANIC_RS04770
SMUTp-07,1,TPANIC_RS04775
SMUTp-07,1,TPANIC_RS04780
SMUTp-07,1,TPANIC_RS04995
SMUTp-07,1,TPANIC_RS05015
SMUTp-07,1,TPANIC_RS05095
SMUTp-07,1,TPANIC_RS05095-377bp-del
SMUTp-07,1,TPANIC_RS05130
SMUTp-09,1,TPANIC_RS05525
SMUTp-09,1,TPANIC_RS05530
SMUTp-09,1,TPANIC_RS05535
SMUTp-09,1,TPANIC_RS00045
SMUTp-09,1,TPANIC_RS00200
SMUTp-09,1,TPANIC_RS00450
SMUTp-09,1,TPANIC_RS00560
SMUTp-09,1,TPANIC_RS00590
SMUTp-09,1,TPANIC_RS00635
SMUTp-09,1,TPANIC_RS00665
SMUTp-09,0.9813312,TPANIC_RS00675
SMUTp-09,0.3858407,TPANIC_RS00680
SMUTp-09,0.7895091,TPANIC_RS00695
SMUTp-09,1,TPANIC_RS00795
SMUTp-09,1,TPANIC_RS00830
SMUTp-09,1,TPANIC_RS00870
SMUTp-09,0.7803738,TPANIC_RS01295
SMUTp-09,1,TPANIC_RS01455
SMUTp-09,1,TPANIC_RS01480
SMUTp-09,0.9252622,TPANIC_RS01545
SMUTp-09,1,TPANIC_RS01555 
SMUTp-09,0.9696035,TPANIC_RS01560
SMUTp-09,0.5419817,TPANIC_RS01590
SMUTp-09,0.0868726,TPANIC_RS01595
SMUTp-09,1,TPANIC_RS02115
SMUTp-09,1,TPANIC_RS02120
SMUTp-09,0.9258401,TPANIC_RS02210
SMUTp-09,1,TPANIC_RS02260
SMUTp-09,1,TPANIC_RS02345
SMUTp-09,1,TPANIC_RS02370
SMUTp-09,1,TPANIC_RS02405
SMUTp-09,1,TPANIC_RS02520
